strategy,sizing,stop,entry,exit,total_pnl,mean_roi,median_roi,hit_rate,max_drawdown,num_trades,sharpe_ratio,profit_factor
S1_R1_E1_X1,S1,R1,E1,X1,-3116.634221330279,-0.8657317281472997,-1.0,0.027777777777777776,3200.0,36,-6.539238288251915,0.10953307961992025
S1_R1_E1_X2,S1,R1,E1,X2,132.2590888134048,0.0367386357815013,0.01909744060190538,0.5555555555555556,111.09319881645888,36,0.6670412217104438,1.4619299683421667
S1_R1_E1_X3,S1,R1,E1,X3,-2921.8949961895773,-0.8116374989415492,-1.0,0.027777777777777776,3200.0,36,-4.370034683165324,0.16517285823154934
S1_R1_E2_X1,S1,R1,E2,X1,-3250.896230299369,-0.9030267306387137,-1.0,0.027777777777777776,3200.0,36,-9.444213506171522,0.07117250562875164
S1_R1_E2_X2,S1,R1,E2,X2,-125.00256178714284,-0.034722933829761896,-0.005212124920084404,0.4722222222222222,219.71141672846466,36,-0.6772622175549693,0.718768690215841
S1_R1_E2_X3,S1,R1,E2,X3,-3086.292971066002,-0.8573036030738894,-1.0,0.027777777777777776,3200.0,36,-6.09310791307925,0.11820200826685658
S1_R1_E3_X1,S1,R1,E3,X1,-3454.7645627823895,-0.9596568229951082,-1.0,0.027777777777777776,3354.7645627823895,36,-24.12476479783102,0.012924410633603015
S1_R1_E3_X2,S1,R1,E3,X2,348.78267371133336,0.09688407603092591,0.013469834777711447,0.5277777777777778,94.24828272410309,36,1.3055161254801124,2.2307753509931514
S1_R1_E3_X3,S1,R1,E3,X3,-3442.1924724675778,-0.9561645756854382,-1.0,0.027777777777777776,3342.1924724675778,36,-22.12201401940914,0.016516436437834882
S1_R2_E1_X1,S1,R2,E1,X1,6400.0,1.7777777777777777,-1.0,0.027777777777777776,3200.0,36,0.6490784676315008,2.8285714285714287
S1_R2_E1_X2,S1,R2,E1,X2,670.5017980416194,0.18625049945600544,0.05047718709219794,0.6666666666666666,51.30595848583431,36,2.4561769198536685,5.363674652507417
S1_R2_E1_X3,S1,R2,E1,X3,6400.0,1.7777777777777777,-1.0,0.027777777777777776,3200.0,36,0.6490784676315008,2.8285714285714287
S1_R2_E2_X1,S1,R2,E2,X1,-3116.1730022813945,-0.8656036117448317,-1.0,0.027777777777777776,3200.0,36,-6.532037816244362,0.1096648564910302
S1_R2_E2_X2,S1,R2,E2,X2,-17.969657469569746,-0.004991571519324929,-0.07378842195456203,0.3611111111111111,340.2803476729391,36,-0.07328256729203829,0.9634013093622237
S1_R2_E2_X3,S1,R2,E2,X3,-3189.3656345314907,-0.8859348984809697,-1.0,0.027777777777777776,3200.0,36,-7.877097961347081,0.08875267584814549
S1_R2_E3_X1,S1,R2,E3,X1,-3452.0238704983153,-0.9588955195828655,-1.0,0.027777777777777776,3352.0238704983153,36,-23.659161823471038,0.013707465571909898
S1_R2_E3_X2,S1,R2,E3,X2,980.2102744464547,0.27228063179068185,0.00836900347948592,0.5277777777777778,97.8520413480723,36,2.257164522067004,4.860999672507032
S1_R2_E3_X3,S1,R2,E3,X3,-3420.88805400396,-0.9502466816677667,-1.0,0.027777777777777776,3320.88805400396,36,-19.37008552531939,0.02260341314172572
S2_R1_E1_X1,S2,R1,E1,X1,-498.6272007398535,-0.9128416578093024,-1.0,0.027777777777777776,516.4291595717132,36,-10.621936924449303,0.1202094686930455
S2_R1_E1_X2,S2,R1,E1,X2,-14.719580455250071,0.2054254318274943,-0.003580541450255059,0.4166666666666667,28.383668992104965,36,1.2878243578243969,0.6906835344246726
S2_R1_E1_X3,S2,R1,E1,X3,-343.3024051659197,-0.8088995879618199,-1.0,0.027777777777777776,378.6761597764267,36,-4.292894533021666,0.1993258827880778
S2_R1_E2_X1,S2,R1,E2,X1,-374.6815078037682,-0.7596454975625018,-1.0,0.027777777777777776,394.7281435589036,36,-3.2053535149428356,0.19097023767933644
